,MouseID,Genotype,Treatment,Behavior,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N
1,309_1,Control,Memantine,C/S,0.503643884,0.747193224,0.4301753,2.81632854,5.990151664,0.218830018,0.177565491,2.373744337,0.232223754,1.750935592,0.687906244,0.306381721,0.402698444,0.296927319,1.022060272,0.605672641,1.877683671,2.308745322,0.44159937,0.859365767,0.416289147,0.369608036,0.178944258,1.866358085,3.685247193,1.537226709,0.264526295,0.319676975,0.813866457,0.165845972,0.453909789,3.037620642,0.369509553,0.458538507,0.335335828,0.825192043
2,309_2,Control,Memantine,C/S,0.51461708,0.689063548,0.411770344,2.789514042,5.685037861,0.211636155,0.172817023,2.292149909,0.226972108,1.596376881,0.69500623,0.299051088,0.385986773,0.281318892,0.956675932,0.587558708,1.725773986,2.043036519,0.445221892,0.834659254,0.400364229,0.356177514,0.17367967,1.761046679,3.48528707,1.509249497,0.25572702,0.304418672,0.780504169,0.157193521,0.430940286,2.921882488,0.342279306,0.423559858,0.324834659,0.761717627
3,309_3,Control,Memantine,C/S,0.509183088,0.730246795,0.418308781,2.687201071,5.622058542,0.209010905,0.175722212,2.283336522,0.230246795,1.561316243,0.677348383,0.291276067,0.381002487,0.28171035,1.003634972,0.602448823,1.731872967,2.017983547,0.467667878,0.814329443,0.399846949,0.36808877,0.173904725,1.765544289,3.571455902,1.501243543,0.259613545,0.3117467,0.785154008,0.160895351,0.423187297,2.944136216,0.343696193,0.425004783,0.324851731,0.757030802
4,309_4,Control,Memantine,C/S,0.442106692,0.61707615,0.358626307,2.466947197,4.97950319,0.222885842,0.176462604,2.152300801,0.207004208,1.595086195,0.583276775,0.296728655,0.37708701,0.313831953,0.875390254,0.520293199,1.566852179,2.132754174,0.477670694,0.727704629,0.385638659,0.362970001,0.179448894,1.286276639,2.970137098,1.419709515,0.259535768,0.279218135,0.734491652,0.162209855,0.410614904,2.500203611,0.344509298,0.429211348,0.330120809,0.746979775
5,309_5,Control,Memantine,C/S,0.434940244,0.617429838,0.358802202,2.36578488,4.718678663,0.213105949,0.173626964,2.134013697,0.192157916,1.504229891,0.550960118,0.286961192,0.363502081,0.277964281,0.864912045,0.507989795,1.480059084,2.013696791,0.483416141,0.687793742,0.367530549,0.355310863,0.174835504,1.324694508,2.896334094,1.35987646,0.250704982,0.273667249,0.702699073,0.154827447,0.398549752,2.456559688,0.329125822,0.408755203,0.313414798,0.691956493
6,309_6,Control,Memantine,C/S,0.447506385,0.62817583,0.36738809,2.38593897,4.807635435,0.218577766,0.176233365,2.14128243,0.195187525,1.442398172,0.566339562,0.289823901,0.363892996,0.26683694,0.85912085,0.521306627,1.538244388,1.968275306,0.495899987,0.672402205,0.36940449,0.357171663,0.179728458,1.227449926,2.956983466,1.447909665,0.250840167,0.284043554,0.704395752,0.156875924,0.391047184,2.467132679,0.327597795,0.404489851,0.296276381,0.674418605
7,309_7,Control,Memantine,C/S,0.428032684,0.573695789,0.342708988,2.334223759,4.473130107,0.225172847,0.184003771,2.012413576,0.195788812,1.612036455,0.509899434,0.299654305,0.37115022,0.277655563,0.844280327,0.485386549,1.494814582,2.01257071,0.497485858,0.646134507,0.395977373,0.359522313,0.186046512,1.10779384,2.599622879,1.364236329,0.261470773,0.276241358,0.693117536,0.162162162,0.405562539,2.288812068,0.345380264,0.427561282,0.333909491,0.757542426
8,309_8,Control,Memantine,C/S,0.416922604,0.564035627,0.327702703,2.260135135,4.268734644,0.214834152,0.179668305,2.007985258,0.18980344,1.424600737,0.501074939,0.283015971,0.358875921,0.256449631,0.818642506,0.478501229,1.409398034,1.85703317,0.48955774,0.628071253,0.360718673,0.360718673,0.171836609,1.077395577,2.550214988,1.316646192,0.250614251,0.265356265,0.676597052,0.159551597,0.375460688,2.281173219,0.328163391,0.407248157,0.322788698,0.695178133
9,309_9,Control,Memantine,C/S,0.386310905,0.538428074,0.317720418,2.125725058,4.063950116,0.207221578,0.167778422,1.861513921,0.180684455,1.261890951,0.476653132,0.266966357,0.337006961,0.242604408,0.748259861,0.458961717,1.341792343,1.822070766,0.464472158,0.600638051,0.326566125,0.328886311,0.170388631,1.008845708,2.434599768,1.252030162,0.230423434,0.252610209,0.635585847,0.154147332,0.351218097,2.139211137,0.309164733,0.378480278,0.294518561,0.636890951
10,309_10,Control,Memantine,C/S,0.380827447,0.499293643,0.362462159,2.096266398,3.598587286,0.22764884,0.188092836,1.717860747,0.188092836,1.414328961,0.455499495,0.324117053,0.368314834,0.283753784,0.743491423,0.44419778,1.355398587,1.783249243,0.493037336,0.570534813,0.335418769,0.392129162,0.198385469,0.906155399,2.169929364,1.248234107,0.257719475,0.301513623,0.636730575,0.174369324,0.380423814,1.922906155,0.373965691,0.433501514,0.394349142,0.742078708
